Country,lat,lon,year
AFG,33.0,65.0,2012
AFG,33.0,65.0,2013
AFG,33.0,65.0,2014
AFG,33.0,65.0,2015
AFG,33.0,65.0,2016
AFG,33.0,65.0,2018
ALB,41.0,20.0,2010
ALB,41.0,20.0,2011
ALB,41.0,20.0,2012
ALB,41.0,20.0,2013
ALB,41.0,20.0,2014
ALB,41.0,20.0,2015
ALB,41.0,20.0,2016
ALB,41.0,20.0,2017
ALB,41.0,20.0,2018
DZA,28.0,3.0,2010
DZA,28.0,3.0,2011
DZA,28.0,3.0,2012
DZA,28.0,3.0,2013
DZA,28.0,3.0,2014
DZA,28.0,3.0,2015
DZA,28.0,3.0,2016
DZA,28.0,3.0,2017
DZA,28.0,3.0,2018
AND,42.3,1.3,2010
AND,42.3,1.3,2011
AND,42.3,1.3,2012
AND,42.3,1.3,2013
AND,42.3,1.3,2014
AND,42.3,1.3,2015
AND,42.3,1.3,2016
AND,42.3,1.3,2017
AND,42.3,1.3,2018
AGO,-12.3,18.3,2011
AGO,-12.3,18.3,2012
AGO,-12.3,18.3,2013
AGO,-12.3,18.3,2014
AGO,-12.3,18.3,2016
AGO,-12.3,18.3,2017
AGO,-12.3,18.3,2018
ATG,17.03,-61.48,2013
ATG,17.03,-61.48,2015
ATG,17.03,-61.48,2017
ARG,-34.0,-64.0,2007
ARG,-34.0,-64.0,2008
ARG,-34.0,-64.0,2009
ARG,-34.0,-64.0,2010
ARG,-34.0,-64.0,2011
ARG,-34.0,-64.0,2012
ARG,-34.0,-64.0,2013
ARG,-34.0,-64.0,2014
ARG,-34.0,-64.0,2015
ARG,-34.0,-64.0,2016
ARG,-34.0,-64.0,2017
ARG,-34.0,-64.0,2018
ARM,40.0,45.0,2009
ARM,40.0,45.0,2010
ARM,40.0,45.0,2011
ARM,40.0,45.0,2012
ARM,40.0,45.0,2013
ARM,40.0,45.0,2014
ARM,40.0,45.0,2015
ARM,40.0,45.0,2016
ARM,40.0,45.0,2017
ARM,40.0,45.0,2018
ABW,12.3,-69.58,2011
ABW,12.3,-69.58,2015
ABW,12.3,-69.58,2016
ABW,12.3,-69.58,2017
ABW,12.3,-69.58,2018
AUS,-27.0,133.0,2004
AUS,-27.0,133.0,2005
AUS,-27.0,133.0,2006
AUS,-27.0,133.0,2007
AUS,-27.0,133.0,2008
AUS,-27.0,133.0,2009
