country,year,macro_region,meso_region,development_level,gdp_per_capita,gdp_volume,hdi,ECI,code,country_population_2018,country_population_2018_level,lat,lon,count,relative_1M_count
afghanistan,2012,Asia,Southern Asia,Developing economies,1935.0,70220349482.0,0.496,,AFG,37171922.0,5-50M,33.0,65.0,1,0.026902025674109615
afghanistan,2013,Asia,Southern Asia,Developing economies,1935.0,70220349482.0,0.496,,AFG,37171922.0,5-50M,33.0,65.0,4,0.10760810269643846
afghanistan,2014,Asia,Southern Asia,Developing economies,1935.0,70220349482.0,0.496,,AFG,37171922.0,5-50M,33.0,65.0,1,0.026902025674109615
afghanistan,2015,Asia,Southern Asia,Developing economies,1935.0,70220349482.0,0.496,,AFG,37171922.0,5-50M,33.0,65.0,1,0.026902025674109615
afghanistan,2016,Asia,Southern Asia,Developing economies,1935.0,70220349482.0,0.496,,AFG,37171922.0,5-50M,33.0,65.0,2,0.05380405134821923
afghanistan,2018,Asia,Southern Asia,Developing economies,1935.0,70220349482.0,0.496,,AFG,37171922.0,5-50M,33.0,65.0,2,0.05380405134821923
albania,2010,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,41.0,20.0,1,0.3468927945163187
albania,2011,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,41.0,20.0,4,1.3875711780652749
albania,2012,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,41.0,20.0,8,2.7751423561305497
albania,2013,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,41.0,20.0,32,11.100569424522199
albania,2014,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,41.0,20.0,25,8.672319862907967
albania,2015,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,41.0,20.0,19,6.590963095810055
albania,2016,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,41.0,20.0,12,4.162713534195825
albania,2017,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,41.0,20.0,16,5.550284712261099
albania,2018,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,41.0,20.0,29,10.059891040973243
algeria,2010,Africa,Northern Africa,Developing economies,15266.0,631867579050.0,0.759,-0.811671,DZA,42228415.0,5-50M,28.0,3.0,13,0.30784958421953557
algeria,2011,Africa,Northern Africa,Developing economies,15266.0,631867579050.0,0.759,-0.811671,DZA,42228415.0,5-50M,28.0,3.0,2,0.047361474495313166
algeria,2012,Africa,Northern Africa,Developing economies,15266.0,631867579050.0,0.759,-0.811671,DZA,42228415.0,5-50M,28.0,3.0,18,0.4262532704578185
algeria,2013,Africa,Northern Africa,Developing economies,15266.0,631867579050.0,0.759,-0.811671,DZA,42228415.0,5-50M,28.0,3.0,72,1.705013081831274
algeria,2014,Africa,Northern Africa,Developing economies,15266.0,631867579050.0,0.759,-0.811671,DZA,42228415.0,5-50M,28.0,3.0,33,0.7814643291726673
algeria,2015,Africa,Northern Africa,Developing economies,15266.0,631867579050.0,0.759,-0.811671,DZA,42228415.0,5-50M,28.0,3.0,32,0.7577835919250107
algeria,2016,Africa,Northern Africa,Developing economies,15266.0,631867579050.0,0.759,-0.811671,DZA,42228415.0,5-50M,28.0,3.0,45,1.0656331761445463
